Id_Complex,Id_Simple
Penggunaan Tor di Rusia Melonjak sebagai Tanggapan terhadap Upaya Penyensoran yang Dilakukan Kremlin,Penggunaan Tor di Rusia Mencicipi Upaya Penyensoran Kremlin
"Peluang pembiayaan di sektor ini terbilang cerah karena industri ini memerlukan investasi Rp8,3 triliun selama tahun 2005-2010 baik untuk on-farm maupun off-farm di seluruh Indonesia.",Prospek pembiayaan di sektor ini secara kategoris cerah karena industri ini membutuhkan Rp8.3 triliun pada tahun 2005-2010 di seluruh negeri.
"""Beberapa hari pertama peluncuran sistem bus ditandai oleh sebuah insiden penembakan, dimana penumpang sebuah taksi menembaki dan melukai dua orang di dalam bus di Soweto.""","""Beberapa hari pertama peluncuran bus rusak oleh penembakan drive-dengan penghuni taksi, ditembak dan terluka dua orang yang naik bus di Soweto."""
"Saya memperhitungkan set berikutnya akan lebih keras dan itulah kenyataannya, kata Murray kepada wartawan setelah pertandingan.","Aku berharap itu menjadi sulit dan itu adalah seperti itu, Murray mengatakan kepada wartawan setelah pertandingan."
"Selain itu undisbursed loan UL/pinjaman yang belum tercairkan selama triwulan II 2007 naik Rp6,9 triliun sehingga pada akhir triwulan II 2007 mencapai sekitar Rp1,72 triliun atau 20 persen dari total kredit perbankan.","Pinjaman yang tak terbantahkan di kuartal kedua 2007 naik Rp6,9 triliun, membawa jumlah mereka ke Rp172 triliun atau 20 persen dari total pinjaman perbankan di akhir kuartal, katanya."
"""Lain kali, UNHCR seharusnya mengirim orang lain seperti Sean Penn dan dapat dipastikan saat itu akan terjadi kericuhan...""","""Lain kali, UNHCR seharusnya mengundang seseorang seperti Sean Penn dan pasti akan ada kembang api...."""
Keuntungan dari reaktor ini adalah dapat melihat secara langsung volume gas yang tersimpan pada drum karena pergerakannya.,Keuntungan dari reaktor ini adalah melihat langsung volume gas di drum karena itu gerakan?
Hewitt memenangi Tur ATP setiap tahun dalam penampilannya 10 tahun sebagai petenis profesional.,Hewitt telah memenangkan acara ATP Tour dalam setiap 10 tahun sebagai profesional.
"""Lalu dia kembali dan meminta maaf kepada wanita itu dan saya (dengan cara yang sangat aneh, tapi itu cerita untuk lain waktu, dan ya, saya juga sempat melaporkan dia ke polisi, atau setidaknya berusaha untuk melaporkan ke polisi, tapi itu juga cerita untuk lain waktu).""","""Lalu dia datang kembali dan meminta maaf padanya dan padaku (dengan cara aneh kacau, tapi itu cerita lain-dan ya, aku menelepon polisi, atau mencoba-tapi lagi, itu cerita lain)."""
"Berbicara kepada Deutschlandfunk, Melissa Fleming mengatakan, bahwa pihaknya tidak bisa memahami bahwa Teheran tidak membuka program pengayaan uraniumnya kepada pemeriksa.","Berbicara dengan Deutschlandfunk, Melissa Fleming mengatakan tidak dimengerti bahwa Teheran tidak membuka program pengayaan uranium untuk inspeksi."
"Ketika para ilmuwan mengamati sesuatu, biasanya mereka mengamati begitu banyak molekul dan mengambil kesimpulan mengenai sebuah molekul tertentu yang didasarkan pada hasil-hasil yang didapat.","Ketika para ilmuwan mengamati sesuatu, mereka biasanya mengamati begitu banyak molekul dan menarik kesimpulan pada molekul tertentu berdasarkan hasil yang diperoleh."
"""PBB fokus untuk menampung kasus-kasus yang paling rentan sebagai prioritas, dan dia memenuhi syarat karena statusnya sebagai ibu tunggal.""","""NON berfokus pada penetapan kembali kasus yang paling rentan pertama kali, dan dia memenuhi syarat sebagai ibu tunggal."""
"Modul memori juga seringkali dapat diakses melalui sisi bawah, sekalipun pada beberapa jenis terdapat pada motherboard dibawah papan ketik dan dengan demikian tidak dimaksudkan untuk diakses oleh pengguna.","Modul memori sering kali juga dapat diakses melalui bagian bawah, meskipun beberapa mungkin berada di motherboard di bawah keyboard dan dengan demikian tidak dimaksudkan untuk diakses oleh pengguna."
"Kami tidak tahun mengapa, kata Ousmane Souare, dari Syndikat uni Pekerja Guinea (USGT), satu dari dua konfederasi pekerja yang berada di balik protes itu.","Kita tidak tahu mengapa, kata Ousmane Souare, dari Uni Pekerja Guinea (USGT), salah satu dari dua konfederasi buruh di balik protes."
"Setelah melakukan konfrontasi, pasukan militer kemudian mundur meninggalkan tiga jenazah dan beberapa senjata serta perlengkapan militer.","Setelah konfrontasi, pasukan tentara mundur meninggalkan tiga mayat dan beberapa senjata dan bahan militer."
"""Para blogger menamai proyek mereka Zone9, setelah """"penjara yang diumpamakan dimana semua warga Ethiopia hidup.""""""","""Para narablog menamai proyek mereka Zone9, setelah ""penjara umum di mana semua orang Ethiopia hidup."" """
"Apabila investor asing tidak menempatkan dananya di pasar domestik, kemungkinan besar rupiah sudah terpuruk tajam jauh di atas angka Rp9.400 per dolar AS, ujarnya.","Kecuali para investor asing menaruh dana mereka di pasar domestik, sang penderitaru mungkin bergerak lebih jauh dari tingkat Rp9.400 per dolar, katanya."
Presiden Bakiev pergi dengan pesawatnya ke tujuan yang tidak diketahui.,Presiden Bakiev pergi ke lokasi yang tidak diketahui di pesawatnya.
"Gubernur Bank Sentral Malaysia Zeti Akhtar Aziz mengatakan Senin bahwa fundamental ekonomi yang kuat akan dapat melindungi negara itu dari dampak negatif kenaikan harga minyak mentah dunia di pasar dunia, demikian dilaporkan kantor berita Malaysia, Bernama, Senin.","Dasar ekonomi yang kuat akan melindungi Malaysia dari dampak negatif kenaikan harga minyak di pasar dunia, kata gubernur bank sentral Senin."
"Dua orang tewas pada saat berlangsung aksi demo di Nepal selatan yang menimbulkan kembali kekerasan Rabu, dan para pendemo bentrok dengan polisi, kata laporan-laporan media.","Dua orang tewas ketika protes di Nepal bagian selatan berlangsung dengan kekerasan pada hari Rabu dan para demonstran bentrok dengan polisi, kata laporan media."
Stromatolit di Pulau Satonda merupakan salah satu jendela atau model lingkungan pada zaman Pra Kambrium sekitar 4000 tahun silam dan di Indonesia hanya bisa ditemukan di Pulau Satonda.,stromatolit di Pulau Satonda adalah salah satu jendela atau model lingkungan era Pre Cambriun sekitar 4.000 tahun yang lalu dan di Indonesia hanya dapat ditemukan di Pulau Satonda.
Peluncuran wahana berawak akan kembali dilakukan negara Tirai Bambu tersebut pada tahun depan.,Peluncuran pesawat udara akan dilakukan oleh negara Tirai Bambu tahun depan
"""Tidak apa-apa bila orang yang begini, tapi ketakhayulan satuan keamanan mengejutkan.""","""Tidak apa-apa ketika orang bertindak seperti ini, tetapi takhayul penegakan hukum mengejutkan. """
